093000011NA                O  00003205100000565000N000000000000002325C 
093000047ZAA              @   00000077300000097000N000000000000002492C 
093000077KAA               F  00000060000000097000N000000000000002560C 
093000107KAA              @   00000070000000097000N000000000000002580C 
093000116PAA                T 00000010000000096900N000000000000002599C 
093000116PAA                T 00000010000000096900N000000000000002600C 
093000116PAA                T 00000010000000096900N000000000000002601C 
093000117KAA               F  00000028700000097000N000000000000002603C 
093000127TAA               FT 00000020000000096900N000000000000002606C 
093000127TAA               FT 00000030000000096900N000000000000002607C 
093000127TAA               FT 00000010000000096900N000000000000002608C 
093000128TAA               FT 00000010000000096900N000000000000002609C 
093000128TAA               FT 00000010000000096900N000000000000002610C 
093000128TAA               FT 00000030000000096900N000000000000002611C 
093000128TAA               FT 00000010000000096900N000000000000002612C 
093000128TAA               FTI00000001300000096900N000000000000002613C 
093000162ZAA              @   00000010000000096900N000000000000002635C 
093000162ZAA              I   00000007200000096900N000000000000002636C 
093000162ZAA               F I00000001300000096900N000000000000002637C 
093000174ZAA               F I00000001500000096900N000000000000002638C 
093000174ZAA               F I00000008500000096900N000000000000002639C 
093000203ZAA               F I00000001500000096900N000000000000002645C 
093000274PAA               FT 00000010000000096800N000000000000002667C 
093000275PAA               FTI00000000800000096800N000000000000002668C 
093000285TAA               F  00000010000000096900N000000000000002670C 
093000285TAA              Q   00000010000000096900N000000000000002671C 
093000614ZAA               F  00000010000000096900N000000000000002838C 
093000489QAAIT            @O X00000011000000317500 000000000000009205N 
093000489QAAIT            Q   00000011000000317500 000000000000009206N 
093000405QAAL             @O X00008511900000259900 000000000000008990N 
093000405QAAL             Q   00008511900000259900 000000000000008991N 
093000137QAALC  P         @O X00000272100000258700 000000000000008430N 
093000137QAALC  P         Q   00000272100000258700 000000000000008431N 
093000553QAAME            @O I00000007900000040000 000000000000009367N 
093000553QAAME            Q   00000007900000040000 000000000000009368N 
093000008NAAN             O   00000718800000288900N000000000000002292C 
093000549QAAOI            @O X00000010500000151500 000000000000009362N 
093000549QAAOI            Q   00000010500000151500 000000000000009363N 
093000088QAAON            @O X00000026100000297000 000000000000008341N 
093000088QAAON            Q   00000026100000297000 000000000000008342N 
093000294PAAP               T 00000010000001089300N000000000000002706C 
093000294PAAP               TI00000008200001089300N000000000000002707C 
093000294PAAP               T 00000010000001089000N000000000000002708C 
093000294PAAP               T 00000051800001088800N000000000000002709C 
093000294PAAP               T 00000048200001088800N000000000000002710C 
093000294PAAP               TI00000001800001088500N000000000000002711C 
093000294TAAP               T 00000020000001089700N000000000000002712C 
093000294TAAP               T 00000020000001089700N000000000000002713C 
093000294TAAP               T 00000010000001089100N000000000000002714C 
093000298TAAP               T 00000020000001088500N000000000000002721C 
093000324ZAAP             @   00000020000001088500N000000000000002733C 
093000334TAAP              FT 00000010000001088300N000000000000002736C 
093000367CAAP             @   00000010000001087600N000000000000002738C 
093000474CAAP             @   00000020000001087600N000000000000002783C 
093000730TAAP              F  00000010000001085600N000000000000002851C 
093000730TAAP                Q00000010000001085600N000000000000002852C 
093000730PAAP                Q00000010000001088500N000000000000002853C 
093000730PAAP             @   00000010000001088500N000000000000002854C 
093000731TAAP              F I00000006200001084200N000000000000002855C 
093000731TAAP              F I00000003800001081500N000000000000002856C 
093000003QAAPL            @ TI00000001000005495500 000000000000008224N 
093000084QAAPL            @ TI00000009000005495500 000000000000008339N 
093000091QAAPL            @FTI00000006500005496100 000000000000008352N 
093000145QAAPL            @FTI00000003500005496100 000000000000008443N 
093000145QAAPL            @FTI00000004000005497000 000000000000008444N 
093000177QAAPL            @ TI00000001000005497000 000000000000008501N 
093000216PAAPL            @ TI00000003000005495900 000000000000008583N 
093000216PAAPL            @ TI00000002000005495350 000000000000008584N 
093000243PAAPL            @ TI00000003000005496200 000000000000008616N 
